wavelength,value
2889.00,0.5831
2888.00,0.5823
2887.00,0.5815
2886.00,0.5807
2885.00,0.5799
2884.00,0.5791
2883.00,0.5781
2882.00,0.5772
2881.00,0.5762
2880.00,0.5753
2879.00,0.5743
2878.00,0.5732
2877.00,0.5721
2876.00,0.5710
2875.00,0.5699
2874.00,0.5688
2873.00,0.5676
2872.00,0.5661
2871.00,0.5645
2870.00,0.5629
2869.00,0.5613
2868.00,0.5597
2867.00,0.5583
2866.00,0.5568
2865.00,0.5554
2864.00,0.5539
2863.00,0.5526
2862.00,0.5515
2861.00,0.5505
2860.00,0.5495
2859.00,0.5486
2858.00,0.5476
2857.00,0.5468
2856.00,0.5461
2855.00,0.5456
2854.00,0.5454
2853.00,0.5452
2852.00,0.5452
2851.00,0.5454
2850.00,0.5457
2849.00,0.5460
2848.00,0.5464
2847.00,0.5467
2846.00,0.5470
2845.00,0.5472
2844.00,0.5474
2843.00,0.5478
2842.00,0.5482
2841.00,0.5485
2840.00,0.5487
2839.00,0.5486
2838.00,0.5482
2837.00,0.5475
2836.00,0.5466
2835.00,0.5454
2834.00,0.5440
2833.00,0.5425
2832.00,0.5408
2831.00,0.5390
2830.00,0.5372
2829.00,0.5354
2828.00,0.5337
2827.00,0.5321
2826.00,0.5305
2825.00,0.5290
2824.00,0.5275
2823.00,0.5260
2822.00,0.5246
2821.00,0.5231
2820.00,0.5216
2819.00,0.5201
2818.00,0.5185
2817.00,0.5167
2816.00,0.5148
2815.00,0.5127
2814.00,0.5105
2813.00,0.5082
2812.00,0.5056
2811.00,0.5029
2810.00,0.4999
2809.00,0.4967
2808.00,0.4934
2807.00,0.4900
2806.00,0.4867
2805.00,0.4835
2804.00,0.4804
2803.00,0.4775
2802.00,0.4749
2801.00,0.4726
2800.00,0.4705
2799.00,0.4687
2798.00,0.4670
2797.00,0.4655
2796.00,0.4642
2795.00,0.4629
2794.00,0.4618
2793.00,0.4608
2792.00,0.4599
2791.00,0.4590
2790.00,0.4582
2789.00,0.4574
2788.00,0.4566
2787.00,0.4559
2786.00,0.4552
2785.00,0.4544
2784.00,0.4538
2783.00,0.4532
2782.00,0.4526
2781.00,0.4520
2780.00,0.4515
2779.00,0.4509
2778.00,0.4504
2777.00,0.4500
2776.00,0.4495
2775.00,0.4490
2774.00,0.4485
2773.00,0.4481
2772.00,0.4476
2771.00,0.4472
2770.00,0.4468
2769.00,0.4464
2768.00,0.4460
2767.00,0.4457
2766.00,0.4453
2765.00,0.4450
2764.00,0.4447
2763.00,0.4444
2762.00,0.4441
2761.00,0.4438
2760.00,0.4434
2759.00,0.4432
2758.00,0.4429
2757.00,0.4426
2756.00,0.4423
2755.00,0.4420
2754.00,0.4417
2753.00,0.4414
2752.00,0.4411
2751.00,0.4409
2750.00,0.4407
2749.00,0.4404
2748.00,0.4400
2747.00,0.4396
2746.00,0.4392
2745.00,0.4389
2744.00,0.4385
2743.00,0.4381
2742.00,0.4378
2741.00,0.4374
2740.00,0.4371
2739.00,0.4367
2738.00,0.4363
2737.00,0.4360
2736.00,0.4356
2735.00,0.4353
2734.00,0.4349
2733.00,0.4346
2732.00,0.4342
2731.00,0.4340
2730.00,0.4337
2729.00,0.4334
2728.00,0.4330
2727.00,0.4327
2726.00,0.4324
2725.00,0.4321
2724.00,0.4317
2723.00,0.4313
2722.00,0.4309
2721.00,0.4306
2720.00,0.4302
2719.00,0.4298
2718.00,0.4295
2717.00,0.4292
2716.00,0.4288
2715.00,0.4285
2714.00,0.4281
2713.00,0.4278
2712.00,0.4274
2711.00,0.4271
2710.00,0.4267
2709.00,0.4264
2708.00,0.4260
2707.00,0.4256
2706.00,0.4253
2705.00,0.4249
2704.00,0.4246
2703.00,0.4242
2702.00,0.4239
2701.00,0.4237
2700.00,0.4234
2699.00,0.4232
2698.00,0.4230
2697.00,0.4227
2696.00,0.4224
2695.00,0.4221
2694.00,0.4218
2693.00,0.4215
2692.00,0.4212
2691.00,0.4209
2690.00,0.4207
2689.00,0.4204
2688.00,0.4202
2687.00,0.4200
2686.00,0.4198
2685.00,0.4196
2684.00,0.4194
2683.00,0.4192
2682.00,0.4190
2681.00,0.4188
2680.00,0.4186
2679.00,0.4184
2678.00,0.4182
2677.00,0.4180
2676.00,0.4177
2675.00,0.4175
2674.00,0.4173
2673.00,0.4171
2672.00,0.4168
2671.00,0.4166
2670.00,0.4163
2669.00,0.4161
2668.00,0.4159
2667.00,0.4157
2666.00,0.4155
2665.00,0.4152
2664.00,0.4150
2663.00,0.4148
2662.00,0.4146
2661.00,0.4144
2660.00,0.4142
2659.00,0.4140
2658.00,0.4137
2657.00,0.4135
2656.00,0.4133
2655.00,0.4130
2654.00,0.4128
2653.00,0.4125
2652.00,0.4123
2651.00,0.4120
2650.00,0.4118
2649.00,0.4115
2648.00,0.4112
2647.00,0.4110
2646.00,0.4108
2645.00,0.4105
2644.00,0.4102
2643.00,0.4100
2642.00,0.4098
2641.00,0.4095
2640.00,0.4093
2639.00,0.4090
2638.00,0.4088
2637.00,0.4085
2636.00,0.4083
2635.00,0.4080
2634.00,0.4078
2633.00,0.4075
2632.00,0.4072
2631.00,0.4070
2630.00,0.4067
2629.00,0.4065
2628.00,0.4063
2627.00,0.4061
2626.00,0.4059
2625.00,0.4057
2624.00,0.4055
2623.00,0.4053
2622.00,0.4051
2621.00,0.4049
2620.00,0.4046
2619.00,0.4044
2618.00,0.4041
2617.00,0.4040
2616.00,0.4038
2615.00,0.4036
2614.00,0.4034
2613.00,0.4032
2612.00,0.4031
2611.00,0.4030
2610.00,0.4029
2609.00,0.4027
2608.00,0.4025
2607.00,0.4023
2606.00,0.4021
