wavelength,value
2874.00,0.6251
2873.00,0.6251
2872.00,0.6251
2871.00,0.6250
2870.00,0.6250
2869.00,0.6251
2868.00,0.6253
2867.00,0.6255
2866.00,0.6257
2865.00,0.6258
2864.00,0.6259
2863.00,0.6260
2862.00,0.6261
2861.00,0.6262
2860.00,0.6261
2859.00,0.6259
2858.00,0.6256
2857.00,0.6252
2856.00,0.6247
2855.00,0.6240
2854.00,0.6234
2853.00,0.6227
2852.00,0.6220
2851.00,0.6214
2850.00,0.6210
2849.00,0.6205
2848.00,0.6200
2847.00,0.6193
2846.00,0.6185
2845.00,0.6177
2844.00,0.6170
2843.00,0.6165
2842.00,0.6163
2841.00,0.6163
2840.00,0.6163
2839.00,0.6163
2838.00,0.6163
2837.00,0.6162
2836.00,0.6161
2835.00,0.6159
2834.00,0.6158
2833.00,0.6157
2832.00,0.6155
2831.00,0.6153
2830.00,0.6149
2829.00,0.6145
2828.00,0.6139
2827.00,0.6133
2826.00,0.6125
2825.00,0.6117
2824.00,0.6107
2823.00,0.6095
2822.00,0.6083
2821.00,0.6071
2820.00,0.6058
2819.00,0.6044
2818.00,0.6030
2817.00,0.6014
2816.00,0.5999
2815.00,0.5983
2814.00,0.5969
2813.00,0.5954
2812.00,0.5939
2811.00,0.5924
2810.00,0.5907
2809.00,0.5890
2808.00,0.5872
2807.00,0.5854
2806.00,0.5837
2805.00,0.5821
2804.00,0.5806
2803.00,0.5791
2802.00,0.5777
2801.00,0.5765
2800.00,0.5754
2799.00,0.5743
2798.00,0.5732
2797.00,0.5720
2796.00,0.5708
2795.00,0.5697
2794.00,0.5688
2793.00,0.5680
2792.00,0.5673
2791.00,0.5667
2790.00,0.5661
2789.00,0.5656
2788.00,0.5649
2787.00,0.5642
2786.00,0.5636
2785.00,0.5630
2784.00,0.5626
2783.00,0.5621
2782.00,0.5617
2781.00,0.5613
2780.00,0.5609
2779.00,0.5605
2778.00,0.5601
2777.00,0.5599
2776.00,0.5597
2775.00,0.5594
2774.00,0.5592
2773.00,0.5589
2772.00,0.5584
2771.00,0.5580
2770.00,0.5576
2769.00,0.5573
2768.00,0.5571
2767.00,0.5568
2766.00,0.5565
2765.00,0.5562
2764.00,0.5559
2763.00,0.5556
2762.00,0.5555
2761.00,0.5554
2760.00,0.5554
2759.00,0.5554
2758.00,0.5555
2757.00,0.5557
2756.00,0.5560
2755.00,0.5563
2754.00,0.5567
2753.00,0.5572
2752.00,0.5578
2751.00,0.5585
2750.00,0.5594
2749.00,0.5603
2748.00,0.5610
2747.00,0.5617
2746.00,0.5623
2745.00,0.5629
2744.00,0.5634
2743.00,0.5638
2742.00,0.5642
2741.00,0.5646
2740.00,0.5649
2739.00,0.5652
2738.00,0.5655
2737.00,0.5659
2736.00,0.5662
2735.00,0.5665
2734.00,0.5667
2733.00,0.5669
2732.00,0.5671
2731.00,0.5672
2730.00,0.5674
2729.00,0.5677
2728.00,0.5680
2727.00,0.5683
2726.00,0.5686
2725.00,0.5688
2724.00,0.5689
2723.00,0.5690
2722.00,0.5689
2721.00,0.5689
2720.00,0.5688
2719.00,0.5687
2718.00,0.5686
2717.00,0.5686
2716.00,0.5685
2715.00,0.5683
2714.00,0.5682
2713.00,0.5680
2712.00,0.5677
2711.00,0.5674
2710.00,0.5671
2709.00,0.5668
2708.00,0.5665
2707.00,0.5661
2706.00,0.5658
2705.00,0.5655
2704.00,0.5651
2703.00,0.5647
2702.00,0.5642
2701.00,0.5637
2700.00,0.5632
2699.00,0.5626
2698.00,0.5619
2697.00,0.5613
2696.00,0.5606
2695.00,0.5598
2694.00,0.5591
2693.00,0.5583
2692.00,0.5575
2691.00,0.5567
2690.00,0.5558
2689.00,0.5548
2688.00,0.5538
2687.00,0.5528
2686.00,0.5518
2685.00,0.5508
2684.00,0.5496
2683.00,0.5484
2682.00,0.5472
2681.00,0.5460
2680.00,0.5448
2679.00,0.5435
2678.00,0.5422
2677.00,0.5409
2676.00,0.5395
2675.00,0.5381
2674.00,0.5368
2673.00,0.5354
2672.00,0.5339
2671.00,0.5325
2670.00,0.5311
2669.00,0.5298
2668.00,0.5285
2667.00,0.5272
2666.00,0.5259
2665.00,0.5246
2664.00,0.5234
2663.00,0.5222
2662.00,0.5211
2661.00,0.5200
2660.00,0.5190
2659.00,0.5179
2658.00,0.5170
2657.00,0.5161
2656.00,0.5152
2655.00,0.5144
2654.00,0.5137
2653.00,0.5131
2652.00,0.5125
2651.00,0.5119
2650.00,0.5115
2649.00,0.5112
2648.00,0.5108
2647.00,0.5105
2646.00,0.5102
2645.00,0.5101
2644.00,0.5099
2643.00,0.5098
2642.00,0.5098
2641.00,0.5099
2640.00,0.5100
2639.00,0.5100
2638.00,0.5102
2637.00,0.5104
2636.00,0.5106
2635.00,0.5109
2634.00,0.5112
2633.00,0.5116
2632.00,0.5120
2631.00,0.5123
2630.00,0.5127
2629.00,0.5130
2628.00,0.5132
2627.00,0.5134
2626.00,0.5137
2625.00,0.5139
2624.00,0.5141
2623.00,0.5143
2622.00,0.5145
2621.00,0.5146
2620.00,0.5148
2619.00,0.5149
2618.00,0.5151
2617.00,0.5154
2616.00,0.5156
2615.00,0.5158
2614.00,0.5159
2613.00,0.5161
2612.00,0.5161
2611.00,0.5161
2610.00,0.5161
2609.00,0.5160
2608.00,0.5160
2607.00,0.5159
2606.00,0.5159
